account_id,district_id,frequency,date
576,55, MONTHLY_ISSUANCE_(MI),01/01/1993
3818,74, MONTHLY_ISSUANCE_(MI),01/01/1993
704,55, MONTHLY_ISSUANCE_(MI),01/01/1993
2378,16, MONTHLY_ISSUANCE_(MI),01/01/1993
2632,24, MONTHLY_ISSUANCE_(MI),02/01/1993
1972,77, MONTHLY_ISSUANCE_(MI),02/01/1993
1539,1,ISSUANCE_AFTER_TRANSACTION_(TI),03/01/1993
793,47, MONTHLY_ISSUANCE_(MI),03/01/1993
2484,74, MONTHLY_ISSUANCE_(MI),03/01/1993
1695,76, MONTHLY_ISSUANCE_(MI),03/01/1993
1726,48, MONTHLY_ISSUANCE_(MI),03/01/1993
2881,70, MONTHLY_ISSUANCE_(MI),04/01/1993
2357,19, MONTHLY_ISSUANCE_(MI),04/01/1993
2177,62, MONTHLY_ISSUANCE_(MI),04/01/1993
485,6,ISSUANCE_AFTER_TRANSACTION_(TI),04/01/1993
652,21, MONTHLY_ISSUANCE_(MI),05/01/1993
9635,70, MONTHLY_ISSUANCE_(MI),05/01/1993
1844,44, MONTHLY_ISSUANCE_(MI),06/01/1993
1926,37, MONTHLY_ISSUANCE_(MI),06/01/1993
2393,10, MONTHLY_ISSUANCE_(MI),07/01/1993
3510,41, MONTHLY_ISSUANCE_(MI),07/01/1993
1276,36, MONTHLY_ISSUANCE_(MI),07/01/1993
1637,1, MONTHLY_ISSUANCE_(MI),08/01/1993
3871,26, MONTHLY_ISSUANCE_(MI),08/01/1993
192,55, MONTHLY_ISSUANCE_(MI),08/01/1993
764,1, MONTHLY_ISSUANCE_(MI),08/01/1993
2087,7,WEEKLY_ISSUANCE_(WI),08/01/1993
2122,68, MONTHLY_ISSUANCE_(MI),08/01/1993
3592,54, MONTHLY_ISSUANCE_(MI),08/01/1993
3487,41, MONTHLY_ISSUANCE_(MI),08/01/1993
435,38, MONTHLY_ISSUANCE_(MI),08/01/1993
1730,1, MONTHLY_ISSUANCE_(MI),09/01/1993
1493,41, MONTHLY_ISSUANCE_(MI),09/01/1993
374,38, MONTHLY_ISSUANCE_(MI),09/01/1993
2925,1, MONTHLY_ISSUANCE_(MI),10/01/1993
866,9, MONTHLY_ISSUANCE_(MI),10/01/1993
1628,60, MONTHLY_ISSUANCE_(MI),10/01/1993
2379,44, MONTHLY_ISSUANCE_(MI),10/01/1993
1979,26, MONTHLY_ISSUANCE_(MI),11/01/1993
346,37, MONTHLY_ISSUANCE_(MI),11/01/1993
1338,74, MONTHLY_ISSUANCE_(MI),11/01/1993
1909,14, MONTHLY_ISSUANCE_(MI),12/01/1993
2099,3,WEEKLY_ISSUANCE_(WI),12/01/1993
3760,44, MONTHLY_ISSUANCE_(MI),13/01/1993
5270,44, MONTHLY_ISSUANCE_(MI),13/01/1993
1699,53, MONTHLY_ISSUANCE_(MI),14/01/1993
3909,1, MONTHLY_ISSUANCE_(MI),14/01/1993
2926,50, MONTHLY_ISSUANCE_(MI),14/01/1993
1731,33, MONTHLY_ISSUANCE_(MI),14/01/1993
11265,15, MONTHLY_ISSUANCE_(MI),14/01/1993
2519,4, MONTHLY_ISSUANCE_(MI),15/01/1993
10364,55, MONTHLY_ISSUANCE_(MI),17/01/1993
1481,15, MONTHLY_ISSUANCE_(MI),17/01/1993
401,32, MONTHLY_ISSUANCE_(MI),18/01/1993
4034,1, MONTHLY_ISSUANCE_(MI),18/01/1993
2330,54, MONTHLY_ISSUANCE_(MI),19/01/1993
1806,40, MONTHLY_ISSUANCE_(MI),19/01/1993
3834,54, MONTHLY_ISSUANCE_(MI),19/01/1993
1222,66, MONTHLY_ISSUANCE_(MI),20/01/1993
212,27,WEEKLY_ISSUANCE_(WI),20/01/1993
456,49, MONTHLY_ISSUANCE_(MI),21/01/1993
459,47, MONTHLY_ISSUANCE_(MI),21/01/1993
772,45, MONTHLY_ISSUANCE_(MI),21/01/1993
1019,52, MONTHLY_ISSUANCE_(MI),21/01/1993
11295,74, MONTHLY_ISSUANCE_(MI),21/01/1993
2970,60, MONTHLY_ISSUANCE_(MI),22/01/1993
2676,73, MONTHLY_ISSUANCE_(MI),22/01/1993
1536,41,WEEKLY_ISSUANCE_(WI),22/01/1993
1179,74, MONTHLY_ISSUANCE_(MI),23/01/1993
280,25, MONTHLY_ISSUANCE_(MI),23/01/1993
2425,41, MONTHLY_ISSUANCE_(MI),23/01/1993
9307,68, MONTHLY_ISSUANCE_(MI),24/01/1993
4055,23, MONTHLY_ISSUANCE_(MI),24/01/1993
5065,66, MONTHLY_ISSUANCE_(MI),24/01/1993
3704,75, MONTHLY_ISSUANCE_(MI),24/01/1993
477,1, MONTHLY_ISSUANCE_(MI),25/01/1993
5891,54, MONTHLY_ISSUANCE_(MI),25/01/1993
1000,77, MONTHLY_ISSUANCE_(MI),25/01/1993
1750,1, MONTHLY_ISSUANCE_(MI),26/01/1993
