client_id,district_id,sex,age,age_group,account_id,type,loan_id,date,amount,duration,payments,status,trans_amount,balance
2,1,M,53,50,2.0,OWNER,4959,1994-01-05,80952,24,3373.0,A,10717.5,2552870.6
25,21,F,59,50,19.0,OWNER,4961,1996-04-29,30276,12,2523.0,B,5645.3,1476898.9
31,68,M,36,30,25.0,OWNER,4962,1997-12-08,30276,12,2523.0,A,6200.1,1368235.7
45,20,M,46,40,37.0,OWNER,4967,1998-10-14,318480,60,5308.0,D,2535.6,618936.5
46,19,F,58,50,38.0,OWNER,4968,1998-04-19,110736,48,2307.0,C,2505.3,585534.2
78,16,F,54,50,67.0,OWNER,4973,1996-05-02,165960,24,6915.0,A,10932.0,2340962.4
116,74,M,56,50,97.0,OWNER,4986,1997-08-10,102876,12,8573.0,A,5440.2,1309825.4
124,44,M,31,30,103.0,OWNER,4988,1997-12-06,265320,36,7370.0,D,8601.1,2477948.2
127,21,F,48,40,105.0,OWNER,4989,1998-12-05,352704,48,7348.0,C,2657.7,516296.10000000003
132,36,M,45,40,110.0,OWNER,4990,1997-09-08,162576,36,4516.0,C,5742.3,1426259.6
158,40,F,53,50,132.0,OWNER,4996,1996-11-06,88440,12,7370.0,A,6484.7,1615904.2
210,66,M,59,50,173.0,OWNER,5002,1994-05-31,104808,12,8734.0,A,8607.1,2007055.3
215,71,M,31,30,176.0,OWNER,5005,1997-04-10,27456,12,2288.0,A,5754.6,1626859.9
272,70,F,54,50,226.0,OWNER,5015,1998-07-12,109344,12,9112.0,C,4081.7,994145.1
333,38,M,27,20,276.0,OWNER,5027,1998-12-02,160920,36,4470.0,C,3020.3,799767.4
352,56,M,58,50,290.0,OWNER,5032,1994-11-03,123696,48,2577.0,A,12330.1,2919315.0
370,71,F,42,40,303.0,OWNER,5034,1998-05-30,112752,36,3132.0,C,5348.7,1237926.3
376,14,F,25,20,309.0,OWNER,5036,1998-11-25,91248,48,1901.0,C,2292.9,505552.2
383,15,F,59,50,314.0,OWNER,5039,1997-05-03,66840,24,2785.0,C,4735.3,985152.7
389,47,F,24,20,319.0,OWNER,5041,1997-07-11,369000,60,6150.0,C,9030.2,2183332.3
403,42,F,25,20,330.0,OWNER,5042,1998-07-12,331584,48,6908.0,C,3996.9,877718.8
414,46,F,51,50,339.0,OWNER,5043,1997-12-25,468060,60,7801.0,C,8385.2,2037475.8
421,54,M,33,30,344.0,OWNER,5044,1994-12-21,100980,60,1683.0,C,9687.0,2259464.7
424,1,M,51,50,347.0,OWNER,5045,1995-05-01,187224,24,7801.0,B,10526.3,2837102.1
426,72,M,62,60,349.0,OWNER,5046,1998-09-09,42816,12,3568.0,C,1429.8,346932.4
458,68,M,37,30,378.0,OWNER,5051,1997-10-11,230400,60,3840.0,C,7988.1,2072242.0
512,60,F,33,30,426.0,OWNER,5060,1994-07-19,252060,60,4201.0,D,7369.3,2037115.7
530,29,F,41,40,440.0,OWNER,5061,1998-03-13,84288,48,1756.0,C,3396.9,813482.0
533,54,F,57,50,442.0,OWNER,5063,1997-07-10,357840,48,7455.0,D,2039.9,493253.1
568,8,F,38,30,472.0,OWNER,5072,1997-04-28,196800,24,8200.0,D,6251.4,1392264.0999999999
603,13,F,32,30,501.0,OWNER,5082,1996-10-24,262980,60,4383.0,C,9021.7,2169096.1
631,70,F,42,40,525.0,OWNER,5086,1997-07-16,210384,48,4383.0,C,5821.0,1434075.7
655,32,M,56,50,544.0,OWNER,5088,1996-08-22,91152,24,3798.0,A,9416.3,2227041.1
798,27,F,58,50,666.0,OWNER,5103,1997-11-28,12540,12,1045.0,A,6740.5,1648926.3
810,58,F,53,50,675.0,OWNER,5110,1997-04-01,102240,60,1704.0,C,6713.1,1697813.4
861,1,F,42,40,718.0,OWNER,5117,1997-08-20,76944,12,6412.0,A,5759.4,1495602.0
939,21,M,46,40,785.0,OWNER,5124,1998-02-12,156096,36,4336.0,C,3365.6,757743.2
944,39,M,28,20,789.0,OWNER,5125,1995-11-23,73056,48,1522.0,C,3619.9,886165.4
