client_id,district_id,sex,age,age_group,account_id,type,loan_id,date,amount,duration,payments,status,trans_amount,balance
2,1,M,53,50,2.0,OWNER,4959,1994-01-05,80952,24,3373.0,A,80944.79999999999,947492.1
25,21,F,59,50,19.0,OWNER,4961,1996-04-29,30276,12,2523.0,B,20185.6,172066.1
31,68,M,36,30,25.0,OWNER,4962,1997-12-08,30276,12,2523.0,A,30278.399999999998,448955.3
45,20,M,46,40,37.0,OWNER,4967,1998-10-14,318480,60,5308.0,D,5307.5,6140.0
46,19,F,58,50,38.0,OWNER,4968,1998-04-19,110736,48,2307.0,C,18454.4,328602.1
78,16,F,54,50,67.0,OWNER,4973,1996-05-02,165960,24,6915.0,A,165960.0,1278255.1
116,74,M,56,50,97.0,OWNER,4986,1997-08-10,102876,12,8573.0,A,102876.0,382257.2
124,44,M,31,30,103.0,OWNER,4988,1997-12-06,265320,36,7370.0,D,81072.2,568617.3
127,21,F,48,40,105.0,OWNER,4989,1998-12-05,352704,48,7348.0,C,7348.0,22827.3
132,36,M,45,40,110.0,OWNER,4990,1997-09-08,162576,36,4516.0,C,72256.0,500139.7
158,40,F,53,50,132.0,OWNER,4996,1996-11-06,88440,12,7370.0,A,88442.4,402792.2
210,66,M,59,50,173.0,OWNER,5002,1994-05-31,104808,12,8734.0,A,104808.0,332645.4
215,71,M,31,30,176.0,OWNER,5005,1997-04-10,27456,12,2288.0,A,27459.600000000002,421112.1
272,70,F,54,50,226.0,OWNER,5015,1998-07-12,109344,12,9112.0,C,54672.0,310340.0
333,38,M,27,20,276.0,OWNER,5027,1998-12-02,160920,36,4470.0,C,4470.5,18942.5
352,56,M,58,50,290.0,OWNER,5032,1994-11-03,123696,48,2577.0,A,123696.0,2102328.6
370,71,F,42,40,303.0,OWNER,5034,1998-05-30,112752,36,3132.0,C,21924.0,396752.2
376,14,F,25,20,309.0,OWNER,5036,1998-11-25,91248,48,1901.0,C,1901.0,39559.8
383,15,F,59,50,314.0,OWNER,5039,1997-05-03,66840,24,2785.0,C,55700.0,862688.1
389,47,F,24,20,319.0,OWNER,5041,1997-07-11,369000,60,6150.0,C,110691.0,1163485.7
403,42,F,25,20,330.0,OWNER,5042,1998-07-12,331584,48,6908.0,C,41448.0,312553.5
414,46,F,51,50,339.0,OWNER,5043,1997-12-25,468060,60,7801.0,C,93614.4,1089814.4
421,54,M,33,30,344.0,OWNER,5044,1994-12-21,100980,60,1683.0,C,80784.0,2037997.3
