account_id,district_id,frequency,date
576,55,POPLATEK MESICNE,01/01/1993
3818,74,POPLATEK MESICNE,01/01/1993
704,55,POPLATEK MESICNE,01/01/1993
2378,16,POPLATEK MESICNE,01/01/1993
2632,24,POPLATEK MESICNE,02/01/1993
1972,77,POPLATEK MESICNE,02/01/1993
1539,1,POPLATEK PO OBRATU,03/01/1993
793,47,POPLATEK MESICNE,03/01/1993
2484,74,POPLATEK MESICNE,03/01/1993
1695,76,POPLATEK MESICNE,03/01/1993
1726,48,POPLATEK MESICNE,03/01/1993
2881,70,POPLATEK MESICNE,04/01/1993
2357,19,POPLATEK MESICNE,04/01/1993
2177,62,POPLATEK MESICNE,04/01/1993
485,6,POPLATEK PO OBRATU,04/01/1993
652,21,POPLATEK MESICNE,05/01/1993
9635,70,POPLATEK MESICNE,05/01/1993
1844,44,POPLATEK MESICNE,06/01/1993
1926,37,POPLATEK MESICNE,06/01/1993
2393,10,POPLATEK MESICNE,07/01/1993
3510,41,POPLATEK MESICNE,07/01/1993
1276,36,POPLATEK MESICNE,07/01/1993
1637,1,POPLATEK MESICNE,08/01/1993
3871,26,POPLATEK MESICNE,08/01/1993
192,55,POPLATEK MESICNE,08/01/1993
764,1,POPLATEK MESICNE,08/01/1993
2087,7,POPLATEK TYDNE,08/01/1993
2122,68,POPLATEK MESICNE,08/01/1993
3592,54,POPLATEK MESICNE,08/01/1993
3487,41,POPLATEK MESICNE,08/01/1993
435,38,POPLATEK MESICNE,08/01/1993
1730,1,POPLATEK MESICNE,09/01/1993
1493,41,POPLATEK MESICNE,09/01/1993
374,38,POPLATEK MESICNE,09/01/1993
2925,1,POPLATEK MESICNE,10/01/1993
866,9,POPLATEK MESICNE,10/01/1993
1628,60,POPLATEK MESICNE,10/01/1993
2379,44,POPLATEK MESICNE,10/01/1993
1979,26,POPLATEK MESICNE,11/01/1993
346,37,POPLATEK MESICNE,11/01/1993
1338,74,POPLATEK MESICNE,11/01/1993
1909,14,POPLATEK MESICNE,12/01/1993
2099,3,POPLATEK TYDNE,12/01/1993
3760,44,POPLATEK MESICNE,13/01/1993
5270,44,POPLATEK MESICNE,13/01/1993
1699,53,POPLATEK MESICNE,14/01/1993
3909,1,POPLATEK MESICNE,14/01/1993
2926,50,POPLATEK MESICNE,14/01/1993
1731,33,POPLATEK MESICNE,14/01/1993
11265,15,POPLATEK MESICNE,14/01/1993
2519,4,POPLATEK MESICNE,15/01/1993
10364,55,POPLATEK MESICNE,17/01/1993
1481,15,POPLATEK MESICNE,17/01/1993
401,32,POPLATEK MESICNE,18/01/1993
4034,1,POPLATEK MESICNE,18/01/1993
2330,54,POPLATEK MESICNE,19/01/1993
1806,40,POPLATEK MESICNE,19/01/1993
3834,54,POPLATEK MESICNE,19/01/1993
1222,66,POPLATEK MESICNE,20/01/1993
212,27,POPLATEK TYDNE,20/01/1993
456,49,POPLATEK MESICNE,21/01/1993
459,47,POPLATEK MESICNE,21/01/1993
772,45,POPLATEK MESICNE,21/01/1993
1019,52,POPLATEK MESICNE,21/01/1993
11295,74,POPLATEK MESICNE,21/01/1993
2970,60,POPLATEK MESICNE,22/01/1993
2676,73,POPLATEK MESICNE,22/01/1993
1536,41,POPLATEK TYDNE,22/01/1993
1179,74,POPLATEK MESICNE,23/01/1993
280,25,POPLATEK MESICNE,23/01/1993
2425,41,POPLATEK MESICNE,23/01/1993
9307,68,POPLATEK MESICNE,24/01/1993
4055,23,POPLATEK MESICNE,24/01/1993
5065,66,POPLATEK MESICNE,24/01/1993
3704,75,POPLATEK MESICNE,24/01/1993
477,1,POPLATEK MESICNE,25/01/1993
5891,54,POPLATEK MESICNE,25/01/1993
1000,77,POPLATEK MESICNE,25/01/1993
1750,1,POPLATEK MESICNE,26/01/1993
2023,68,POPLATEK MESICNE,26/01/1993
6473,12,POPLATEK MESICNE,26/01/1993
1649,46,POPLATEK MESICNE,26/01/1993
2670,13,POPLATEK MESICNE,27/01/1993
1127,27,POPLATEK MESICNE,27/01/1993
163,30,POPLATEK MESICNE,27/01/1993
2566,48,POPLATEK MESICNE,27/01/1993
9,70,POPLATEK MESICNE,27/01/1993
1144,59,POPLATEK MESICNE,28/01/1993
2902,32,POPLATEK MESICNE,28/01/1993
4296,63,POPLATEK MESICNE,28/01/1993
443,64,POPLATEK MESICNE,28/01/1993
3693,61,POPLATEK MESICNE,29/01/1993
2070,72,POPLATEK MESICNE,29/01/1993
1843,12,POPLATEK MESICNE,30/01/1993
2714,1,POPLATEK MESICNE,30/01/1993
4078,40,POPLATEK MESICNE,30/01/1993
1675,36,POPLATEK MESICNE,01/02/1993
5868,44,POPLATEK MESICNE,02/02/1993
1805,1,POPLATEK MESICNE,02/02/1993
2434,17,POPLATEK MESICNE,02/02/1993
3007,16,POPLATEK MESICNE,02/02/1993
2574,68,POPLATEK MESICNE,02/02/1993
862,64,POPLATEK TYDNE,02/02/1993
1132,1,POPLATEK TYDNE,03/02/1993
4484,54,POPLATEK MESICNE,03/02/1993
943,1,POPLATEK MESICNE,03/02/1993
3514,7,POPLATEK MESICNE,03/02/1993
3983,67,POPLATEK MESICNE,04/02/1993
9265,1,POPLATEK MESICNE,04/02/1993
465,32,POPLATEK MESICNE,04/02/1993
